date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:19	121537/121537	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202022%2010:53:10%20GMT	https://pixner.net/onlinebets/onlinebets/football.html	C:/Users/Administrator/Desktop/z%20wanawe/new%20bettingwebsite/pixner.net/onlinebets/onlinebets/football.html	(from )
12:00:20	713/713	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Sep%202023%2008:00:20%20GMT	https://pixner.net/robots.txt		(from )
12:00:20	1637/1637	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Nov%202022%2002:57:52%20GMT	https://pixner.net/onlinebets/onlinebets/assets/img/logo/favicon.png	C:/Users/Administrator/Desktop/z%20wanawe/new%20bettingwebsite/pixner.net/onlinebets/onlinebets/assets/img/logo/favicon.png	(from https://pixner.net/onlinebets/onlinebets/football.html)
12:00:21	155851/155851	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Nov%202022%2002:57:52%20GMT	https://pixner.net/onlinebets/onlinebets/assets/css/bootstrap.min.css	C:/Users/Administrator/Desktop/z%20wanawe/new%20bettingwebsite/pixner.net/onlinebets/onlinebets/assets/css/bootstrap.min.css	(from https://pixner.net/onlinebets/onlinebets/football.html)
12:00:21	492093/492093	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2003%20Nov%202022%2002:57:52%20GMT	https://pixner.net/onlinebets/onlinebets/assets/css/bootstrap.css.map	C:/Users/Administrator/Desktop/z%20wanawe/new%20bettingwebsite/pixner.net/onlinebets/onlinebets/assets/css/bootstrap.css.map	(from https://pixner.net/onlinebets/onlinebets/football.html)
12:00:21	3434/3434	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Nov%202022%2002:57:52%20GMT	https://pixner.net/onlinebets/onlinebets/assets/css/odometer.css	C:/Users/Administrator/Desktop/z%20wanawe/new%20bettingwebsite/pixner.net/onlinebets/onlinebets/assets/css/odometer.css	(from https://pixner.net/onlinebets/onlinebets/football.html)
12:00:21	59838/59838	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Nov%202022%2002:57:52%20GMT	https://pixner.net/onlinebets/onlinebets/assets/css/animate.css	C:/Users/Administrator/Desktop/z%20wanawe/new%20bettingwebsite/pixner.net/onlinebets/onlinebets/assets/css/animate.css	(from https://pixner.net/onlinebets/onlinebets/football.html)
12:00:22	7302/7302	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Nov%202022%2002:57:52%20GMT	https://pixner.net/onlinebets/onlinebets/assets/css/magnific-popup.css	C:/Users/Administrator/Desktop/z%20wanawe/new%20bettingwebsite/pixner.net/onlinebets/onlinebets/assets/css/magnific-popup.css	(from https://pixner.net/onlinebets/onlinebets/football.html)
12:00:22	101714/101714	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Nov%202022%2002:57:52%20GMT	https://pixner.net/onlinebets/onlinebets/assets/css/all.min.css	C:/Users/Administrator/Desktop/z%20wanawe/new%20bettingwebsite/pixner.net/onlinebets/onlinebets/assets/css/all.min.css	(from https://pixner.net/onlinebets/onlinebets/football.html)
12:00:22	3360/3360	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Nov%202022%2002:57:52%20GMT	https://pixner.net/onlinebets/onlinebets/assets/css/owl.carousel.min.css	C:/Users/Administrator/Desktop/z%20wanawe/new%20bettingwebsite/pixner.net/onlinebets/onlinebets/assets/css/owl.carousel.min.css	(from https://pixner.net/onlinebets/onlinebets/football.html)
